STATE_ABBREVIATION,STATE_NAME,PADD,PORT_STATE,PADD_FULL
CT,CONNECTICUT,1,CT,1A
ME,MAINE,1,ME,1A
MA,MASSACHUSETTS,1,MA,1A
NH,NEW HAMPSHIRE,1,NH,1A
RI,RHODE ISLAND,1,RI,1A
VT,CONNECTICUT,1,VT,1A
DE,DELAWARE,1,DE,1B
DC,WASHINGTON D.C.,1,DC,1B
MD,MARYLAND,1,MD,1B
NJ,NEW JERSEY,1,NJ,1B
NY,NEW YORK,1,NY,1B
PA,PENNSYLVANIA,1,PA,1B
FL,FLORIDA,1,FL,1C
GA,GEORGIA,1,GA,1C
NC,NORTH CAROLINA,1,NC,1C
SC,SOUTH CAROLIAN,1,SC,1C
VA,VIRGINIA,1,VA,1C
WV,WEST VIRGINIA,1,WV,1C
IL,ILLINOIS,2,IL,2
IN,INDIANNA,2,IN,2
IA,IOWA,2,IA,2
KS,KANSAS,2,KS,2
KY,KENTUCKY,2,KY,2
MI,MICHIGAN,2,MI,2
MN,MINNESOTA,2,MN,2
MO,MISSOURI,2,MO,2
NE,NEBRASKA,2,NE,2
ND,NORTH DAKOTA,2,ND,2
SD,SOUTH DAKOTA,2,SD,2
OH,OHIO,2,OH,2
OK,OKLAHOMA,2,OK,2
TN,TENNESSEE,2,TN,2
WI,WISCOUSIN,2,WI,2
AL,ALABAMA,3,AL,3
AR,ARKANSAS,3,AR,3
LA,LOUSIANA,3,LA,3
MS,MISSISSIPPI,3,MS,3
NM,NEW MEXICO,3,NM,3
TX,TEXAS,3,TX,3
CO,COLORADO,4,CO,4
ID,IDAHO,4,ID,4
MT,MONTANA,4,MT,4
UT,UTAH,4,UT,4
WY,WYOMING,4,WY,4
AK,ALASKA,5,AK,5
AZ,ARIZONA,5,AZ,5
CA,CALIFORNIA,5,CA,5
HA,HAWAII,5,HA,5
NV,NEVADA,5,NV,5
OR,OREGON,5,OR,5
WA,WASHINGTON D.C.,5,WA,5
PR,PUERTO RICO,6,PR,6
VI,VIRGIN ISLANDS,6,VI,6
GU,GUAM,7,GU,7
US,UNITED STATES,0,US,0
UN,UNKNOWN,-99,UN,-99
